MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
non-clustered_tds_10-100Kb	0.04540300153976697	0.010799052133782915	0.03169618125005338	0.007928915998721097	0.008701059270757436	0.018693608360076136	0.003271641809576547	0.003108847549501726
non-clustered_tds_100Kb-1Mb	0.012457456931111305	0.0029244808942847015	0.011537186076410699	0.04749820736738722	0.015315944833828206	0.011213873266708637	0.010151018833970215	0.029179473178364602
non-clustered_tds_1Mb-10Mb	0.01745139977395143	0.005552528042861354	0.00899567952152386	0.025602383093237698	0.024508713928876175	0.029173943487661624	0.013373956829706005	0.020555833422520375
non-clustered_tds_>10Mb	0.009499637865916174	0.0050597856135589795	0.14062780217906526	0.27107968717550585	0.008749955138207205	0.009675241986315175	0.042492108055383095	0.011483699189483814
non-clustered_inv_1-10Kb	5.682073831508205e-06	5.738707472573878e-06	5.677142493482279e-06	5.261113149522767e-06	5.783436293882005e-06	5.462381476094791e-06	4.794406794091808e-06	5.091569394707764e-06
non-clustered_inv_10-100Kb	5.6821636236463745e-06	5.738692255363276e-06	5.677141637647765e-06	5.261355626366691e-06	5.783237787454709e-06	5.462343808015468e-06	4.794463817444043e-06	5.091545652494275e-06
non-clustered_inv_100Kb-1Mb	5.682033884681914e-06	5.738714790822996e-06	5.677147419305584e-06	5.260947900286239e-06	5.783541424932537e-06	5.462081635907445e-06	4.79440044476891e-06	5.091585585119249e-06
non-clustered_inv_1Mb-10Mb	5.682061785478254e-06	5.738677228009692e-06	5.677183398915986e-06	5.261081043688317e-06	5.783466729837983e-06	5.462339289130646e-06	4.794368126436912e-06	5.0915599835479e-06
non-clustered_inv_>10Mb	5.682151558744408e-06	5.738661867781048e-06	5.677187492551638e-06	5.261362450539927e-06	5.783253496247198e-06	5.4624925850195185e-06	4.7943959136460135e-06	5.091559179679704e-06
non-clustered_trans	0.19401208771145873	0.039294095598330366	0.0810761230950924	0.3144977797046926	0.6937743135392666	0.32266921340992166	0.15050297463630322	0.41326841331567193
